psx_offset,duckstation_va,byte_length,type,description,tags,notes
9010,80009010,4,4 Bytes,PSX RNG (BIOS value),"rng,chocobo","the main PSX RNG value, used for chocobo racing"
4A630,8004A630,1,Byte,Field RNG Increment (Stone),"field,rng",
51568,80051568,4,4 Bytes,Global frame counter,rng,"increases by 1 every 60fps frame, used to seed chocorace rng"
62D4C,80062D4C,4,4 Bytes,"Battle: ""Joker"" value",battle,"+1 on every RNG16 call. When = 0 (mod 8), do not increment index."
62D78,80062D78,2,2 Bytes,Battle Controller Inputs,"battle,input",
62D7A,80062D7A,2,2 Bytes,Battle Controller Inputs Copy,"battle,input",
62D88,80062D88,2,2 Bytes,Battle Controller Inputs (Battle Frame),"battle,input","Is copied at 15fps, does not update while the game is paused"
62D8A,80062D8A,2,2 Bytes,Battle Controller Inputs (Battle Frame) (Copy),"battle,input",
62E10,80062E10,8,8 Bytes,Battle RNG,"battle,rng",8 1-byte indexes into the Battle RNG table
62E18,80062E18,1,Byte,Battle RNG Index,"battle,rng","Value from 0-7, specifies which value in ^ to use. Increments on RNG16 (see 62D4C)"
62F19,80062F19,1,Byte,Enemy Away / Lure Modifier,,
62F1A,80062F1A,1,Byte,Chocobo Lure Modifier,chocobo,2a0
62F1B,80062F1B,1,Byte,Preemptive Rate Modifier,"battle,equipment","Based on number of preemptive materia you have, 16 by default"
62F54,80062F54,4,2 Bytes,Battle: Active Enemy Formation ID,battle,"Usually the same as 707BC except this one changes when a mid-battle battle change happens (Hundred/Heli gunner, Hojo, Battle Square)"
707BC,800707BC,2,2 Bytes,Battle: Starting Enemy Formation ID,battle,Freeze this value to set the next battle
716D0,800716D0,1,Byte,Preemptive Step ID Flag,"battle,field","4 = Preemptive, lock it to 4 and you only get preempts when possible"
7173C,8007173C,2,2 Bytes,Field Danger,field,
71A54,80071A54,4,4 Bytes,Field Encounter Rate Pointer,field,
71A5C,80071A5C,2,2 Bytes,?,"field,party","was 0x74 outside barret, is set to 0 when you get a field encounter"
71C20,80071C20,1,Byte,Field Formation Accumulator,"battle,field","often called ""formation"", determines the next battle formation in field encounters"
74EB0,80074EB0,4,4 Bytes,Field X Position,field,
74EB4,80074EB4,4,4 Bytes,Field Y Position,field,
74EB8,80074EB8,4,4 Bytes,Field Z Position,field,
74F14,80074F14,2,2 Bytes,Field Danger Divisor,field,"In fields, 32/16 when Run is held, 8/4 otherwise, determined also by 9AC04"
75E24,80075E24,256,Array of byte,Var[5],,Var[6] appears to be the same memory region. Is usually where temporary values in scripts are stored
7E774,8007E774,2,2 Bytes,Last Battle Formation,battle,
7EBC8,8007EBC8,1,Byte,Entering Random Encounter,"field,rng",Duplicating boss glitch happens when this is set to 1
95DC8,80095DC8,1,Byte,Field RNG (List),"field,rng",
965E0,800965E0,2,2 Bytes,?,field,these have something to do with field encounters
965E8,800965E8,2,2 Bytes,?,,
9A05C,8009A05C,2,2 Bytes,Current Field / Last Entered World Map Area,"field,world",
9AC04,8009AC04,2,2 Bytes,Field Danger Divisor Multiplier,field,"depends on field, results in DIPS increasing sometimes"
